task_name,model,method,source_file,split,index,qa_id,qa_type,primary_slots,support_fact_count,local_entanglement,metric,value
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,0,mt10_a01_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.37099960446357727
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,1,mt10_a01_q14,relation,['representative_work'],1,1.0,forget_Q_A_Prob,0.4810425341129303
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,2,mt10_a01_q16,composite,['genre_and_core_themes'],1,1.0,forget_Q_A_Prob,0.10532183200120926
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,3,mt10_a01_q30,single_fact,['writing_style'],1,1.0,forget_Q_A_Prob,0.10197027027606964
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,4,mt10_a02_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.5170918703079224
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,5,mt10_a02_q14,relation,['representative_work'],1,1.0,forget_Q_A_Prob,0.35003817081451416
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,6,mt10_a02_q16,composite,['genre_and_core_themes'],1,1.0,forget_Q_A_Prob,0.18152391910552979
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,7,mt10_a02_q29,single_fact,['writing_style'],1,1.0,forget_Q_A_Prob,0.18115748465061188
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,8,mt10_a03_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.4495655298233032
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,9,mt10_a03_q14,relation,['representative_work'],1,1.0,forget_Q_A_Prob,0.3958275318145752
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,10,mt10_a03_q16,composite,['genre_and_core_themes'],1,1.0,forget_Q_A_Prob,0.0960424393415451
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,11,mt10_a03_q30,single_fact,['writing_style'],1,1.0,forget_Q_A_Prob,0.08167435973882675
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,12,mt10_a04_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.36637839674949646
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,13,mt10_a04_q14,relation,['representative_work'],1,1.0,forget_Q_A_Prob,0.26570555567741394
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,14,mt10_a04_q16,composite,['genre_and_core_themes'],1,1.0,forget_Q_A_Prob,0.07494991272687912
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,15,mt10_a04_q30,single_fact,['writing_style'],1,1.0,forget_Q_A_Prob,0.14050765335559845
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,16,mt10_a05_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.33174821734428406
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,17,mt10_a05_q14,relation,['representative_work'],1,1.0,forget_Q_A_Prob,0.5031207799911499
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,18,mt10_a05_q16,composite,['genre_and_core_themes'],1,1.0,forget_Q_A_Prob,0.09645728766918182
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,19,mt10_a05_q30,single_fact,['writing_style'],1,1.0,forget_Q_A_Prob,0.10591571033000946
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,20,mt10_a06_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.530346691608429
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,21,mt10_a06_q14,relation,['representative_work'],1,1.0,forget_Q_A_Prob,0.21237099170684814
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,22,mt10_a06_q16,composite,['genre_and_core_themes'],1,1.0,forget_Q_A_Prob,0.1816428005695343
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,23,mt10_a06_q29,single_fact,['writing_style'],1,1.0,forget_Q_A_Prob,0.11447018384933472
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,24,mt10_a07_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.23102106153964996
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,25,mt10_a07_q14,relation,['representative_work'],1,1.0,forget_Q_A_Prob,0.3005233407020569
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,26,mt10_a07_q16,composite,['genre_and_core_themes'],1,1.0,forget_Q_A_Prob,0.07455377280712128
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,27,mt10_a07_q30,single_fact,['writing_style'],1,1.0,forget_Q_A_Prob,0.05463239178061485
mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10,Llama-3.2-1B-Instruct,CEU,/home/zkzhang/unlearning/open-unlearning/saves/unlearn/mytofu_Llama-3.2-1B-Instruct_CEU_from_full_e10/evals_final/MYTOFU_EVAL.json,forget,28,mt10_a08_q10,single_fact,['core_themes'],1,1.0,forget_Q_A_Prob,0.41239115595817566
