method,tuning_tag,task_name,run_dir,expected_summary
CEU,paper_i0_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i0_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i0_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i0_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
CEU,paper_i1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
CEU,paper_i2_lr1em5_e2,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr1em5_e2_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr1em5_e2_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr1em5_e2_from_full_e10/evals_final/MYTOFU_SUMMARY.json
CEU,paper_i2_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p05_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p1_a2_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p2_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p5_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
PDU,paper_eps0p05_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p05_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p05_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p05_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
PDU,paper_eps0p1_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
PDU,paper_eps0p2_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc10_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc10_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc10_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc10_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc20_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc20_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc20_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc20_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc2_a0p5_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc2_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc5_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc5_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
